latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
35.51916,-113.31403,299.37,0.62,0.54,2024-12-01,1000,N20,VIIRS,n,2.0NRT,270.19,1.59,N
39.49401,-119.61929,295.87,0.41,0.37,2024-12-01,1000,N20,VIIRS,n,2.0NRT,264.19,0.49,N
40.34864,-123.68049,305.21,0.4,0.37,2024-12-01,1000,N20,VIIRS,n,2.0NRT,279.06,1.07,N
40.48739,-123.74724,307.26,0.4,0.37,2024-12-01,1000,N20,VIIRS,n,2.0NRT,276.5,0.86,N
40.82155,-114.25903,312.47,0.42,0.45,2024-12-01,1000,N20,VIIRS,n,2.0NRT,268.62,1.56,N
33.71553,-117.71003,301.63,0.39,0.44,2024-12-01,1002,N20,VIIRS,n,2.0NRT,283.13,1.15,N
35.5766,-115.48265,339.34,0.59,0.7,2024-12-01,1940,N20,VIIRS,n,2.0NRT,286.64,6.51,D
35.57507,-115.48063,333.51,0.59,0.7,2024-12-01,1940,N20,VIIRS,n,2.0NRT,286,4.08,D
41.03002,-123.92497,341.54,0.44,0.38,2024-12-01,2122,N20,VIIRS,n,2.0NRT,275.76,5.69,D
33.95643,-117.12105,298.02,0.4,0.37,2024-12-02,0941,N20,VIIRS,n,2.0NRT,279.33,0.18,N
33.8549,-118.33117,300.02,0.39,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,287.21,0.74,N
33.90757,-118.40444,298.55,0.39,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,285.89,0.76,N
33.79455,-117.47438,315.85,0.4,0.37,2024-12-02,0941,N20,VIIRS,n,2.0NRT,280.62,1.03,N
34.03682,-118.10691,299.11,0.39,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,280.92,0.43,N
33.87815,-116.99928,299.63,0.4,0.37,2024-12-02,0941,N20,VIIRS,n,2.0NRT,278.28,0.41,N
40.82456,-114.25775,302.49,0.41,0.37,2024-12-02,0941,N20,VIIRS,n,2.0NRT,267.95,0.73,N
40.82123,-114.25891,297.82,0.41,0.37,2024-12-02,0941,N20,VIIRS,n,2.0NRT,267.33,0.67,N
41.03238,-123.92545,298.2,0.42,0.45,2024-12-02,0941,N20,VIIRS,n,2.0NRT,276,0.32,N
34.62372,-117.10022,308.17,0.4,0.37,2024-12-02,0941,N20,VIIRS,n,2.0NRT,280.02,1.02,N
34.60949,-117.33607,304.93,0.39,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,277.18,1.51,N
34.82147,-118.74926,301.18,0.38,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,279.24,1.01,N
34.35547,-116.855,301.92,0.4,0.37,2024-12-02,0941,N20,VIIRS,n,2.0NRT,278.42,0.76,N
34.43049,-118.64597,308.68,0.38,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,278.5,1.24,N
34.33559,-118.5209,308.66,0.38,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,282.06,0.91,N
34.32051,-118.51153,297.06,0.38,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,281.26,0.17,N
34.14293,-117.42986,307.41,0.39,0.37,2024-12-02,0941,N20,VIIRS,n,2.0NRT,278.64,0.71,N
34.24498,-118.3823,297.64,0.39,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,278.68,0.43,N
34.29144,-118.80347,305.11,0.38,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,278.94,0.77,N
34.48229,-120.13268,295.54,0.39,0.37,2024-12-02,0941,N20,VIIRS,n,2.0NRT,279.89,0.19,N
34.11639,-117.92655,295.41,0.39,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,280.48,0.31,N
34.1533,-118.1937,314.35,0.39,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,283.17,1.19,N
34.0411,-117.82117,295.3,0.39,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,279.53,0.52,N
32.59804,-117.01292,307.3,0.41,0.37,2024-12-02,0941,N20,VIIRS,n,2.0NRT,280.94,0.9,N
32.55163,-116.03204,309.2,0.44,0.39,2024-12-02,0941,N20,VIIRS,n,2.0NRT,277.36,0.94,N
32.85891,-117.14854,302.68,0.41,0.37,2024-12-02,0941,N20,VIIRS,n,2.0NRT,277.79,0.96,N
32.85873,-117.02752,301.14,0.41,0.37,2024-12-02,0941,N20,VIIRS,n,2.0NRT,279.03,0.81,N
33.49394,-117.61635,304.76,0.39,0.37,2024-12-02,0941,N20,VIIRS,n,2.0NRT,281.39,0.92,N
33.61438,-117.8222,308.86,0.39,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,282.11,1.15,N
33.79275,-118.34888,295.98,0.39,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,280.83,0.28,N
33.77798,-118.23675,302.69,0.39,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,287.91,0.85,N
33.71475,-117.70996,298.41,0.39,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,282.2,0.51,N
33.81583,-118.23756,299.29,0.39,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,286.11,1.15,N
33.82046,-118.24504,301.64,0.39,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,286.57,1.39,N
33.85161,-118.33193,296.56,0.39,0.36,2024-12-02,0941,N20,VIIRS,n,2.0NRT,284.85,0.69,N
38.07345,-122.14244,298.81,0.49,0.4,2024-12-02,0943,N20,VIIRS,n,2.0NRT,283.79,2.27,N
38.01507,-122.116,296.17,0.48,0.4,2024-12-02,0943,N20,VIIRS,n,2.0NRT,281.31,1.13,N
37.88532,-121.18477,301.2,0.44,0.39,2024-12-02,0943,N20,VIIRS,n,2.0NRT,277.91,0.53,N
36.81181,-120.20734,321.05,0.41,0.37,2024-12-02,0943,N20,VIIRS,n,2.0NRT,277.38,2.14,N
37.95254,-122.40075,295.54,0.5,0.41,2024-12-02,0943,N20,VIIRS,n,2.0NRT,284.78,0.97,N
37.94443,-122.39638,297.68,0.5,0.41,2024-12-02,0943,N20,VIIRS,n,2.0NRT,281.33,1.53,N
35.51597,-113.31421,304.61,0.52,0.42,2024-12-02,0943,N20,VIIRS,n,2.0NRT,269.81,1.55,N
37.45711,-121.93213,299.94,0.47,0.4,2024-12-02,0943,N20,VIIRS,n,2.0NRT,279.14,0.74,N
33.48591,-116.12397,333.61,0.48,0.4,2024-12-02,2101,N20,VIIRS,n,2.0NRT,289.5,3.99,D
32.67095,-115.04871,336.59,0.53,0.42,2024-12-02,2101,N20,VIIRS,n,2.0NRT,305.32,9.88,D
32.6244,-115.08139,342.8,0.53,0.42,2024-12-02,2101,N20,VIIRS,n,2.0NRT,304.91,6.38,D
39.03913,-122.05686,332.69,0.38,0.36,2024-12-02,2101,N20,VIIRS,n,2.0NRT,287.98,3.48,D
39.0424,-122.05768,338.4,0.38,0.36,2024-12-02,2101,N20,VIIRS,n,2.0NRT,287.36,3.48,D
39.09327,-122.19311,333.82,0.38,0.36,2024-12-02,2101,N20,VIIRS,n,2.0NRT,289.31,2.38,D
32.62247,-115.0788,340.19,0.53,0.42,2024-12-02,2101,N20,VIIRS,n,2.0NRT,303.1,3.44,D
37.55783,-120.71292,325.87,0.39,0.36,2024-12-02,2101,N20,VIIRS,n,2.0NRT,289.48,1.12,D
