latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
34.3997,-118.59348,303.89,1.18,1.08,2024-12-01,1741,Terra,MODIS,57,6.1NRT,290.91,5.52,D
39.93084,-121.73249,300.45,1.09,1.04,2024-12-02,1819,Terra,MODIS,37,6.1NRT,284.75,5.65,D
39.92884,-121.72025,316.1,1.09,1.04,2024-12-02,1819,Terra,MODIS,76,6.1NRT,285.55,17.47,D
35.11679,-119.19563,306.97,1.76,1.3,2024-12-02,1819,Terra,MODIS,61,6.1NRT,282.74,20.72,D
33.47843,-116.11771,305.71,3.06,1.66,2024-12-02,1819,Terra,MODIS,47,6.1NRT,292.39,23.91,D
40.44754,-121.9961,301.83,1.06,1.03,2024-12-02,1819,Terra,MODIS,49,6.1NRT,284.18,7.66,D
32.66528,-115.04868,310.48,1.07,1.03,2024-12-02,2148,Aqua,MODIS,55,6.1NRT,297.53,5.95,D
33.29086,-115.53626,311.9,1.04,1.02,2024-12-02,2148,Aqua,MODIS,63,6.1NRT,300.93,6.45,D
39.03364,-122.06407,303.2,1.19,1.09,2024-12-02,2152,Aqua,MODIS,55,6.1NRT,287.08,8.02,D
39.32783,-121.32723,300.97,1.11,1.05,2024-12-02,2152,Aqua,MODIS,33,6.1NRT,285.55,5.87,D
39.3153,-121.62753,301.77,1.13,1.06,2024-12-02,2152,Aqua,MODIS,49,6.1NRT,287.54,6.08,D
40.0699,-123.89373,306.89,2.82,1.6,2024-12-03,1900,Terra,MODIS,64,6.1NRT,283.13,47.58,D
40.07431,-123.88701,304.42,2.82,1.6,2024-12-03,1900,Terra,MODIS,59,6.1NRT,283.19,39.84,D
38.63638,-120.53726,301.89,2.21,1.44,2024-12-03,2231,Aqua,MODIS,50,6.1NRT,289.34,16.24,D
38.96191,-122.02618,310.45,1.8,1.31,2024-12-03,2231,Aqua,MODIS,70,6.1NRT,288.49,24.78,D
39.02687,-122.06348,308.56,1.79,1.31,2024-12-03,2231,Aqua,MODIS,67,6.1NRT,288.58,21.29,D
40.47535,-123.73663,301.49,1.5,1.21,2024-12-03,2231,Aqua,MODIS,47,6.1NRT,288.21,10.18,D
41.33582,-122.67248,311.01,1.77,1.3,2024-12-03,2231,Aqua,MODIS,62,6.1NRT,279.64,31.55,D
41.85839,-120.27634,326.51,2.51,1.52,2024-12-03,2231,Aqua,MODIS,64,6.1NRT,282.26,100.79,D
41.86764,-120.28497,318.24,2.51,1.52,2024-12-03,2231,Aqua,MODIS,68,6.1NRT,282.04,73.78,D
41.87482,-120.26197,324.35,3.03,1.66,2024-12-04,0425,Terra,MODIS,100,6.1NRT,271.97,138.34,N
41.87593,-120.26849,324.27,3.03,1.66,2024-12-04,0425,Terra,MODIS,100,6.1NRT,272.49,137.57,N
41.87614,-120.27845,304.45,4.61,1.97,2024-12-04,0601,Terra,MODIS,60,6.1NRT,271.95,103.74,N
41.87729,-120.28574,300.51,4.61,1.97,2024-12-04,0601,Terra,MODIS,29,6.1NRT,271.95,84.02,N
41.88004,-120.26196,311.74,1.71,1.28,2024-12-04,1030,Aqua,MODIS,83,6.1NRT,272.73,35.42,N
41.59599,-119.86494,312.33,1.02,1.01,2024-12-04,1800,Terra,MODIS,72,6.1NRT,273.49,16.47,D
41.8692,-120.25664,304.63,1.04,1.02,2024-12-04,1800,Terra,MODIS,45,6.1NRT,276.4,10.57,D
41.59756,-119.87659,337.46,1.02,1.01,2024-12-04,1800,Terra,MODIS,91,6.1NRT,275.31,45.26,D
