latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
37.88375,-121.18612,299.62,0.38,0.36,2025-01-01,0956,N,VIIRS,n,2.0NRT,274.93,0.65,N
38.01497,-122.11446,299.38,0.39,0.36,2025-01-01,0956,N,VIIRS,n,2.0NRT,280.44,1.28,N
37.95161,-122.39841,296.81,0.39,0.36,2025-01-01,0956,N,VIIRS,n,2.0NRT,283.51,0.93,N
37.9443,-122.3955,301.16,0.39,0.36,2025-01-01,0956,N,VIIRS,n,2.0NRT,277.94,1.27,N
37.45583,-121.934,297.58,0.39,0.36,2025-01-01,0956,N,VIIRS,n,2.0NRT,275.72,0.35,N
36.6634,-120.13259,295.21,0.39,0.36,2025-01-01,0956,N,VIIRS,n,2.0NRT,273.27,0.51,N
38.07189,-122.13995,304.52,0.39,0.36,2025-01-01,0956,N,VIIRS,n,2.0NRT,285.67,1.77,N
38.68083,-120.57397,303.8,0.38,0.36,2025-01-01,0956,N,VIIRS,n,2.0NRT,275.13,0.59,N
38.21587,-121.98427,298.16,0.39,0.36,2025-01-01,0956,N,VIIRS,n,2.0NRT,269.77,0.44,N
38.1725,-121.44858,316.38,0.38,0.36,2025-01-01,0956,N,VIIRS,n,2.0NRT,275.21,1.66,N
38.63023,-123.32426,329.23,0.41,0.37,2025-01-01,0956,N,VIIRS,n,2.0NRT,274,2.49,N
38.67755,-120.57481,295.11,0.38,0.36,2025-01-01,0956,N,VIIRS,n,2.0NRT,275.57,0.59,N
34.07432,-118.54564,333.45,0.46,0.39,2025-01-01,0958,N,VIIRS,n,2.0NRT,295.42,29.17,N
34.07593,-118.54205,329.11,0.46,0.39,2025-01-01,0958,N,VIIRS,n,2.0NRT,288.1,3.84,N
34.07685,-118.54699,298.78,0.46,0.39,2025-01-01,0958,N,VIIRS,n,2.0NRT,280.69,3.84,N
34.07236,-118.54286,329.22,0.46,0.39,2025-01-01,0958,N,VIIRS,n,2.0NRT,290.23,14.37,N
34.07327,-118.54777,303.67,0.46,0.39,2025-01-01,0958,N,VIIRS,n,2.0NRT,280.86,14.37,N
32.50971,-116.76948,298.45,0.39,0.44,2025-01-01,0958,N,VIIRS,n,2.0NRT,276.41,0.73,N
34.29074,-118.79949,299.71,0.45,0.39,2025-01-01,0958,N,VIIRS,n,2.0NRT,276.14,0.74,N
34.15362,-118.19261,301.33,0.47,0.4,2025-01-01,0958,N,VIIRS,n,2.0NRT,268.17,0.37,N
34.33654,-118.51727,307.88,0.46,0.39,2025-01-01,0958,N,VIIRS,n,2.0NRT,281.24,0.45,N
34.33299,-118.5182,297.23,0.46,0.39,2025-01-01,0958,N,VIIRS,n,2.0NRT,279.87,0.45,N
34.32048,-118.51117,303.93,0.46,0.39,2025-01-01,0958,N,VIIRS,n,2.0NRT,281.34,0.76,N
34.29161,-118.8042,295.61,0.45,0.39,2025-01-01,0958,N,VIIRS,n,2.0NRT,275.31,0.72,N
35.57343,-120.7759,330.32,0.45,0.39,2025-01-01,2116,N,VIIRS,n,2.0NRT,291.22,2.68,D
35.575,-120.77416,327.79,0.45,0.39,2025-01-01,2116,N,VIIRS,n,2.0NRT,289.96,2.19,D
34.42892,-118.64506,312.24,0.39,0.36,2025-01-02,0938,N,VIIRS,n,2.0NRT,274.14,1.06,N
